#Wave,#Intensity
2678.351563,2319.734375
2676.814453,2241.165527
2675.279297,2252.125488
2673.742188,2157.329590
2672.205078,2077.209473
2670.667969,2032.898926
2669.130859,2034.133179
2667.593750,1910.188354
2666.054688,1859.433105
2664.515625,1820.072632
2662.978516,1798.599243
2661.439453,1804.749268
2659.900391,1729.690552
2658.359375,1657.908203
2656.820313,1664.081055
2655.279297,1634.541260
2653.740234,1601.766968
2652.199219,1588.475830
2650.658203,1544.367065
2649.115234,1518.116211
2647.574219,1602.144531
2646.033203,1520.768433
2644.490234,1462.117432
2642.947266,1473.177246
2641.404297,1417.798462
2639.861328,1415.901978
2638.318359,1425.343994
2636.773438,1370.006348
2635.230469,1377.833984
2633.685547,1362.995850
2632.140625,1341.689453
2630.595703,1377.025635
2629.050781,1323.368286
2627.505859,1281.054199
2625.958984,1287.271729
2624.412109,1309.655273
2622.867188,1289.999634
2621.320313,1294.594971
2619.773438,1258.790649
2618.224609,1248.849609
2616.677734,1246.988647
2615.128906,1219.288940
2613.582031,1167.380493
2612.033203,1157.464600
2610.484375,1194.358276
2608.933594,1208.645752
2607.384766,1166.459839
2605.833984,1179.133789
2604.285156,1183.738892
2602.734375,1152.869263
2601.183594,1101.054443
2599.632813,1129.848267
2598.080078,1190.859497
2596.529297,1113.289429
2594.976563,1154.949707
2593.425781,1164.383545
2591.873047,1130.338867
2590.318359,1159.091675
2588.765625,1126.670776
2587.212891,1100.699463
2585.658203,1114.960571
2584.103516,1108.304443
2582.550781,1075.918823
2580.996094,1112.686890
2579.439453,1089.958618
2577.884766,1086.526733
2576.328125,1058.991455
2574.773438,1118.226074
2573.216797,1119.609009
2571.660156,1141.869385
2570.103516,1075.808105
2568.544922,1117.332397
2566.988281,1154.024780
2565.429688,1084.790771
2563.871094,1049.276733
2562.312500,1066.711304
2560.753906,1085.742554
2559.195313,1040.628662
2557.636719,1061.260254
2556.076172,1105.925293
2554.515625,1092.883423
2552.955078,1076.642334
2551.394531,1068.416748
2549.833984,1071.404785
2548.273438,1051.974976
2546.710938,1085.381226
2545.148438,1025.942749
2543.585938,1091.344727
2542.023438,1070.326172
2540.460938,1090.904541
2538.898438,1084.287476
2537.333984,1104.854492
2535.769531,1066.265015
2534.207031,1053.263306
2532.642578,1073.823730
2531.076172,1079.997070
2529.511719,1142.073486
2527.947266,1071.575073
2526.380859,1133.627686
2524.814453,1004.094849
2523.248047,1098.056030
2521.681641,1011.666138
2520.115234,1099.205933
2518.546875,1051.131592
2516.978516,1114.706787
2515.412109,1112.885986
2513.843750,1055.273315
2512.273438,1040.715088
2510.705078,1026.162598
2509.136719,1037.105469
2507.566406,1049.636475
2505.996094,1062.162354
2504.425781,1090.604126
2502.855469,1107.891602
2501.285156,1064.695923
2499.712891,1096.301758
2498.142578,1046.762451
2496.570313,978.157227
2494.998047,1035.203735
2493.425781,1063.609497
