#Wave,#Intensity
2398.787109,968.869507
2397.195313,929.421509
2395.603516,929.230713
2394.009766,946.302429
2392.416016,977.488098
2390.822266,911.402649
2389.228516,981.791321
2387.634766,943.956604
2386.039063,965.710327
2384.445313,965.511536
2382.849609,905.764221
2381.253906,911.844604
2379.658203,913.223145
2378.060547,916.167053
2376.464844,928.504333
2374.867188,945.532776
2373.269531,885.862732
2371.671875,896.633484
2370.074219,879.238953
2368.476563,927.546265
2366.876953,944.556702
2365.279297,930.289795
2363.679688,994.188110
2362.080078,934.593506
2360.480469,1189.094360
2358.878906,942.017639
2357.279297,907.460815
2355.677734,938.504211
2354.076172,921.135925
2352.474609,970.894470
2350.873047,891.102478
2349.271484,881.555908
2347.667969,912.571960
2346.064453,903.024658
2344.462891,879.447510
2342.857422,865.233948
2341.253906,871.288696
2339.650391,902.274170
2338.044922,922.340576
2336.441406,934.610107
2334.835938,920.399353
2333.230469,892.181030
2331.623047,867.087830
2330.017578,894.922119
2328.410156,922.744629
2326.804688,875.880127
2325.197266,877.252869
2323.589844,878.624878
2321.980469,900.208191
2320.373047,921.782410
2318.763672,921.589844
2317.154297,935.381409
2315.544922,975.575989
2313.935547,869.758545
2312.326172,860.259705
2310.716797,936.151794
2309.105469,890.943115
2307.494141,898.515808
2305.882813,896.776123
2304.271484,846.950195
2302.660156,879.340881
2301.046875,919.470642
2299.433594,877.422058
2297.820313,911.335571
2296.207031,895.648743
2294.593750,855.180542
2292.980469,868.941223
2291.365234,936.896729
2289.751953,910.379456
2288.136719,874.585571
2286.521484,869.758911
2284.904297,895.879944
2283.289063,894.144531
2281.671875,909.422791
2280.054688,920.055603
2278.439453,898.218140
2276.820313,860.933167
2275.203125,851.479797
2273.585938,899.195679
2271.966797,917.542419
2270.347656,888.006165
2268.728516,893.995056
2267.109375,889.175354
2265.490234,884.357605
2263.869141,873.369568
2262.248047,911.753418
2260.628906,910.018494
2259.007813,877.442566
2257.384766,881.882446
2255.763672,904.817444
2254.140625,938.530396
2252.519531,916.761047
2250.896484,879.596375
2249.273438,893.271362
2247.648438,908.480225
2246.025391,915.985229
2244.400391,901.938965
2242.775391,903.286743
2241.150391,943.096130
2239.525391,922.900085
2237.900391,962.688293
2236.273438,900.983521
2234.648438,865.437073
2233.021484,908.285583
2231.394531,885.044800
2229.767578,841.843018
2228.138672,919.994324
2226.511719,924.405579
2224.882813,913.462524
2223.253906,879.500488
2221.625000,853.225708
2219.996094,882.195068
2218.365234,862.066406
2216.734375,886.420593
2215.105469,875.499023
2213.474609,882.977417
2211.841797,862.865356
2210.210938,871.875366
2208.580078,877.817505
2206.947266,874.567139
2205.314453,883.568665
2203.681641,910.938049
2202.048828,878.599915
2200.414063,905.958557
2198.781250,908.825256
2197.146484,865.800232
2195.511719,931.377686
2193.876953,908.243408
2192.240234,946.266968
2190.605469,881.873047
2188.968750,893.908997
2187.332031,869.274353
2185.695313,896.581665
2184.058594,868.902710
2182.421875,862.609863
2180.783203,896.006470
2179.146484,863.766846
2177.507813,859.004639
2175.869141,822.210266
2174.228516,844.910828
2172.589844,808.135071
2170.949219,865.891235
2169.308594,848.940247
2167.667969,851.805847
2166.027344,886.663147
2164.386719,878.857239
2162.744141,866.486145
2161.101563,866.300232
2159.460938,902.646362
2157.816406,899.408875
2156.173828,865.742371
